2025-02-11T16:47:52.713+06:00  INFO 27940 --- [flowable-saga-orchestrator-engine] [main] lowableSagaOrchestratorEngineApplication : Starting FlowableSagaOrchestratorEngineApplication using Java 21.0.6 with PID 27940 (D:\Projects\Code\spring-flowable-microservice-event-driven-example\flowable-saga-orchestrator-engine\target\classes started by anirudhya.sarker in D:\Projects\Code\spring-flowable-microservice-event-driven-example\flowable-saga-orchestrator-engine)
2025-02-11T16:47:52.718+06:00  INFO 27940 --- [flowable-saga-orchestrator-engine] [main] lowableSagaOrchestratorEngineApplication : No active profile set, falling back to 1 default profile: "default"
2025-02-11T16:47:57.440+06:00  INFO 27940 --- [flowable-saga-orchestrator-engine] [main] liquibase.changelog                      : Foreign key constraint added to ACT_CMMN_RU_MIL_INST (CASE_DEF_ID_)
2025-02-11T16:47:57.442+06:00  INFO 27940 --- [flowable-saga-orchestrator-engine] [main] liquibase.changelog                      : Index ACT_IDX_MIL_CASE_DEF created
2025-02-11T16:47:57.443+06:00  INFO 27940 --- [flowable-saga-orchestrator-engine] [main] liquibase.changelog                      : Foreign key constraint added to ACT_CMMN_RU_MIL_INST (CASE_INST_ID_)
2025-02-11T16:47:57.444+06:00  INFO 27940 --- [flowable-saga-orchestrator-engine] [main] liquibase.changelog                      : Index ACT_IDX_MIL_CASE_INST created
2025-02-11T16:47:57.446+06:00  INFO 27940 --- [flowable-saga-orchestrator-engine] [main] liquibase.changelog                      : Table ACT_CMMN_HI_CASE_INST created
2025-02-11T16:47:57.448+06:00  INFO 27940 --- [flowable-saga-orchestrator-engine] [main] liquibase.changelog                      : Table ACT_CMMN_HI_MIL_INST created
2025-02-11T16:47:57.448+06:00  INFO 27940 --- [flowable-saga-orchestrator-engine] [main] liquibase.changelog                      : ChangeSet org/flowable/cmmn/db/liquibase/flowable-cmmn-db-changelog.xml::1::flowable ran successfully in 47ms
2025-02-11T16:47:57.456+06:00  INFO 27940 --- [flowable-saga-orchestrator-engine] [main] liquibase.changelog                      : Columns DGRM_RESOURCE_NAME_(varchar(4000)),HAS_START_FORM_KEY_(boolean) added to ACT_CMMN_CASEDEF
2025-02-11T16:47:57.459+06:00  INFO 27940 --- [flowable-saga-orchestrator-engine] [main] liquibase.changelog                      : Columns GENERATED_(boolean) added to ACT_CMMN_DEPLOYMENT_RESOURCE
2025-02-11T16:47:57.462+06:00  INFO 27940 --- [flowable-saga-orchestrator-engine] [main] liquibase.changelog                      : Columns LOCK_TIME_(datetime) added to ACT_CMMN_RU_CASE_INST
2025-02-11T16:47:57.467+06:00  INFO 27940 --- [flowable-saga-orchestrator-engine] [main] liquibase.changelog                      : Columns ITEM_DEFINITION_ID_(varchar(255)),ITEM_DEFINITION_TYPE_(varchar(255)) added to ACT_CMMN_RU_PLAN_ITEM_INST
2025-02-11T16:47:57.467+06:00  INFO 27940 --- [flowable-saga-orchestrator-engine] [main] liquibase.changelog                      : ChangeSet org/flowable/cmmn/db/liquibase/flowable-cmmn-db-changelog.xml::2::flowable ran successfully in 15ms
2025-02-11T16:47:57.471+06:00  INFO 27940 --- [flowable-saga-orchestrator-engine] [main] liquibase.changelog                      : Columns IS_COMPLETEABLE_(boolean) added to ACT_CMMN_RU_PLAN_ITEM_INST
2025-02-11T16:47:57.475+06:00  INFO 27940 --- [flowable-saga-orchestrator-engine] [main] liquibase.changelog                      : Columns IS_COMPLETEABLE_(boolean) added to ACT_CMMN_RU_CASE_INST
2025-02-11T16:47:57.476+06:00  INFO 27940 --- [flowable-saga-orchestrator-engine] [main] liquibase.changelog                      : Index ACT_IDX_PLAN_ITEM_STAGE_INST created
2025-02-11T16:47:57.478+06:00  INFO 27940 --- [flowable-saga-orchestrator-engine] [main] liquibase.changelog                      : Columns IS_COUNT_ENABLED_(boolean) added to ACT_CMMN_RU_PLAN_ITEM_INST
2025-02-11T16:47:57.481+06:00  INFO 27940 --- [flowable-saga-orchestrator-engine] [main] liquibase.changelog                      : Columns VAR_COUNT_(integer) added to ACT_CMMN_RU_PLAN_ITEM_INST
2025-02-11T16:47:57.485+06:00  INFO 27940 --- [flowable-saga-orchestrator-engine] [main] liquibase.changelog                      : Columns SENTRY_PART_INST_COUNT_(integer) added to ACT_CMMN_RU_PLAN_ITEM_INST
2025-02-11T16:47:57.486+06:00  INFO 27940 --- [flowable-saga-orchestrator-engine] [main] liquibase.changelog                      : ChangeSet org/flowable/cmmn/db/liquibase/flowable-cmmn-db-changelog.xml::3::flowable ran successfully in 15ms
2025-02-11T16:47:57.496+06:00  INFO 27940 --- [flowable-saga-orchestrator-engine] [main] liquibase.changelog                      : Table ACT_CMMN_HI_PLAN_ITEM_INST created
2025-02-11T16:47:57.499+06:00  INFO 27940 --- [flowable-saga-orchestrator-engine] [main] liquibase.changelog                      : Columns TENANT_ID_(varchar(255)) added to ACT_CMMN_RU_MIL_INST
2025-02-11T16:47:57.501+06:00  INFO 27940 --- [flowable-saga-orchestrator-engine] [main] liquibase.changelog                      : Columns TENANT_ID_(varchar(255)) added to ACT_CMMN_HI_MIL_INST
2025-02-11T16:47:57.501+06:00  INFO 27940 --- [flowable-saga-orchestrator-engine] [main] liquibase.changelog                      : ChangeSet org/flowable/cmmn/db/liquibase/flowable-cmmn-db-changelog.xml::4::flowable ran successfully in 13ms
2025-02-11T16:47:57.504+06:00  INFO 27940 --- [flowable-saga-orchestrator-engine] [main] liquibase.changelog                      : Index ACT_IDX_CASE_DEF_UNIQ created
2025-02-11T16:47:57.504+06:00  INFO 27940 --- [flowable-saga-orchestrator-engine] [main] liquibase.changelog                      : ChangeSet org/flowable/cmmn/db/liquibase/flowable-cmmn-db-changelog.xml::6::flowable ran successfully in 1ms
2025-02-11T16:47:57.508+06:00  INFO 27940 --- [flowable-saga-orchestrator-engine] [main] liquibase.changelog                      : Column ACT_CMMN_RU_PLAN_ITEM_INST.START_TIME_ renamed to CREATE_TIME_
2025-02-11T16:47:57.509+06:00  INFO 27940 --- [flowable-saga-orchestrator-engine] [main] liquibase.changelog                      : Column ACT_CMMN_HI_PLAN_ITEM_INST.CREATED_TIME_ renamed to CREATE_TIME_
2025-02-11T16:47:57.534+06:00  INFO 27940 --- [flowable-saga-orchestrator-engine] [main] liquibase.changelog                      : Columns LAST_AVAILABLE_TIME_(datetime(3)),LAST_ENABLED_TIME_(datetime(3)),LAST_DISABLED_TIME_(datetime(3)),LAST_STARTED_TIME_(datetime(3)),LAST_SUSPENDED_TIME_(datetime(3)),COMPLETED_TIME_(datetime(3)),OCCURRED_TIME_(datetime(3)),TERMINATED_TIME_(datetime(3)),EXIT_TIME_(datetime(3)),ENDED_TIME_(datetime(3)),ENTRY_CRITERION_ID_(varchar(255)),EXIT_CRITERION_ID_(varchar(255)) added to ACT_CMMN_RU_PLAN_ITEM_INST
2025-02-11T16:47:57.537+06:00  INFO 27940 --- [flowable-saga-orchestrator-engine] [main] liquibase.changelog                      : Columns ENTRY_CRITERION_ID_(varchar(255)),EXIT_CRITERION_ID_(varchar(255)) added to ACT_CMMN_HI_PLAN_ITEM_INST
2025-02-11T16:47:57.537+06:00  INFO 27940 --- [flowable-saga-orchestrator-engine] [main] liquibase.changelog                      : ChangeSet org/flowable/cmmn/db/liquibase/flowable-cmmn-db-changelog.xml::7::flowable ran successfully in 31ms
2025-02-11T16:47:57.540+06:00  INFO 27940 --- [flowable-saga-orchestrator-engine] [main] liquibase.changelog                      : Columns SHOW_IN_OVERVIEW_(boolean) added to ACT_CMMN_HI_PLAN_ITEM_INST
2025-02-11T16:47:57.541+06:00  INFO 27940 --- [flowable-saga-orchestrator-engine] [main] liquibase.changelog                      : ChangeSet org/flowable/cmmn/db/liquibase/flowable-cmmn-db-changelog.xml::8::flowable ran successfully in 2ms
2025-02-11T16:47:57.544+06:00  INFO 27940 --- [flowable-saga-orchestrator-engine] [main] liquibase.changelog                      : Columns EXTRA_VALUE_(varchar(255)) added to ACT_CMMN_RU_PLAN_ITEM_INST
2025-02-11T16:47:57.546+06:00  INFO 27940 --- [flowable-saga-orchestrator-engine] [main] liquibase.changelog                      : Columns EXTRA_VALUE_(varchar(255)) added to ACT_CMMN_HI_PLAN_ITEM_INST
2025-02-11T16:47:57.546+06:00  INFO 27940 --- [flowable-saga-orchestrator-engine] [main] liquibase.changelog                      : ChangeSet org/flowable/cmmn/db/liquibase/flowable-cmmn-db-changelog.xml::9::flowable ran successfully in 4ms
2025-02-11T16:47:57.551+06:00  INFO 27940 --- [flowable-saga-orchestrator-engine] [main] liquibase.changelog                      : Columns REFERENCE_ID_(varchar(255)) added to ACT_CMMN_RU_CASE_INST
2025-02-11T16:47:57.553+06:00  INFO 27940 --- [flowable-saga-orchestrator-engine] [main] liquibase.changelog                      : Columns REFERENCE_TYPE_(varchar(255)) added to ACT_CMMN_RU_CASE_INST
2025-02-11T16:47:57.554+06:00  INFO 27940 --- [flowable-saga-orchestrator-engine] [main] liquibase.changelog                      : Index ACT_IDX_CASE_INST_REF_ID_ created
2025-02-11T16:47:57.555+06:00  INFO 27940 --- [flowable-saga-orchestrator-engine] [main] liquibase.changelog                      : Columns REFERENCE_ID_(varchar(255)) added to ACT_CMMN_HI_CASE_INST
2025-02-11T16:47:57.557+06:00  INFO 27940 --- [flowable-saga-orchestrator-engine] [main] liquibase.changelog                      : Columns REFERENCE_TYPE_(varchar(255)) added to ACT_CMMN_HI_CASE_INST
2025-02-11T16:47:57.557+06:00  INFO 27940 --- [flowable-saga-orchestrator-engine] [main] liquibase.changelog                      : ChangeSet org/flowable/cmmn/db/liquibase/flowable-cmmn-db-changelog.xml::10::flowable ran successfully in 9ms
2025-02-11T16:47:57.560+06:00  INFO 27940 --- [flowable-saga-orchestrator-engine] [main] liquibase.changelog                      : Columns DERIVED_CASE_DEF_ID_(varchar(255)) added to ACT_CMMN_RU_PLAN_ITEM_INST
2025-02-11T16:47:57.562+06:00  INFO 27940 --- [flowable-saga-orchestrator-engine] [main] liquibase.changelog                      : Columns DERIVED_CASE_DEF_ID_(varchar(255)) added to ACT_CMMN_HI_PLAN_ITEM_INST
2025-02-11T16:47:57.562+06:00  INFO 27940 --- [flowable-saga-orchestrator-engine] [main] liquibase.changelog                      : ChangeSet org/flowable/cmmn/db/liquibase/flowable-cmmn-db-changelog.xml::11::flowable ran successfully in 3ms
2025-02-11T16:47:57.567+06:00  INFO 27940 --- [flowable-saga-orchestrator-engine] [main] liquibase.changelog                      : Columns LOCK_OWNER_(varchar(255)) added to ACT_CMMN_RU_CASE_INST
2025-02-11T16:47:57.567+06:00  INFO 27940 --- [flowable-saga-orchestrator-engine] [main] liquibase.changelog                      : ChangeSet org/flowable/cmmn/db/liquibase/flowable-cmmn-db-changelog.xml::12::flowable ran successfully in 3ms
2025-02-11T16:47:57.572+06:00  INFO 27940 --- [flowable-saga-orchestrator-engine] [main] liquibase.changelog                      : Columns LAST_UNAVAILABLE_TIME_(datetime(3)) added to ACT_CMMN_RU_PLAN_ITEM_INST
2025-02-11T16:47:57.573+06:00  INFO 27940 --- [flowable-saga-orchestrator-engine] [main] liquibase.changelog                      : Columns LAST_UNAVAILABLE_TIME_(datetime(3)) added to ACT_CMMN_HI_PLAN_ITEM_INST
2025-02-11T16:47:57.574+06:00  INFO 27940 --- [flowable-saga-orchestrator-engine] [main] liquibase.changelog                      : ChangeSet org/flowable/cmmn/db/liquibase/flowable-cmmn-db-changelog.xml::13::flowable ran successfully in 4ms
2025-02-11T16:47:57.579+06:00  INFO 27940 --- [flowable-saga-orchestrator-engine] [main] liquibase.changelog                      : Columns LAST_REACTIVATION_TIME_(datetime(3)),LAST_REACTIVATION_USER_ID_(varchar(255)) added to ACT_CMMN_RU_CASE_INST
2025-02-11T16:47:57.584+06:00  INFO 27940 --- [flowable-saga-orchestrator-engine] [main] liquibase.changelog                      : Columns LAST_REACTIVATION_TIME_(datetime(3)),LAST_REACTIVATION_USER_ID_(varchar(255)) added to ACT_CMMN_HI_CASE_INST
2025-02-11T16:47:57.584+06:00  INFO 27940 --- [flowable-saga-orchestrator-engine] [main] liquibase.changelog                      : ChangeSet org/flowable/cmmn/db/liquibase/flowable-cmmn-db-changelog.xml::14::flowable ran successfully in 9ms
2025-02-11T16:47:57.588+06:00  INFO 27940 --- [flowable-saga-orchestrator-engine] [main] liquibase.changelog                      : Columns BUSINESS_STATUS_(varchar(255)) added to ACT_CMMN_RU_CASE_INST
2025-02-11T16:47:57.589+06:00  INFO 27940 --- [flowable-saga-orchestrator-engine] [main] liquibase.changelog                      : Columns BUSINESS_STATUS_(varchar(255)) added to ACT_CMMN_HI_CASE_INST
2025-02-11T16:47:57.589+06:00  INFO 27940 --- [flowable-saga-orchestrator-engine] [main] liquibase.changelog                      : ChangeSet org/flowable/cmmn/db/liquibase/flowable-cmmn-db-changelog.xml::16::flowable ran successfully in 3ms
2025-02-11T16:47:57.592+06:00  INFO 27940 --- [flowable-saga-orchestrator-engine] [main] liquibase.changelog                      : Index ACT_IDX_HI_CASE_INST_END created
2025-02-11T16:47:57.592+06:00  INFO 27940 --- [flowable-saga-orchestrator-engine] [main] liquibase.changelog                      : ChangeSet org/flowable/cmmn/db/liquibase/flowable-cmmn-db-changelog.xml::17::flowable ran successfully in 1ms
2025-02-11T16:47:57.594+06:00  INFO 27940 --- [flowable-saga-orchestrator-engine] [main] liquibase.util                           : UPDATE SUMMARY
2025-02-11T16:47:57.594+06:00  INFO 27940 --- [flowable-saga-orchestrator-engine] [main] liquibase.util                           : Run:                         15
2025-02-11T16:47:57.595+06:00  INFO 27940 --- [flowable-saga-orchestrator-engine] [main] liquibase.util                           : Previously run:               0
2025-02-11T16:47:57.595+06:00  INFO 27940 --- [flowable-saga-orchestrator-engine] [main] liquibase.util                           : Filtered out:                 2
2025-02-11T16:47:57.595+06:00  INFO 27940 --- [flowable-saga-orchestrator-engine] [main] liquibase.util                           : -------------------------------
2025-02-11T16:47:57.595+06:00  INFO 27940 --- [flowable-saga-orchestrator-engine] [main] liquibase.util                           : Total change sets:           17
2025-02-11T16:47:57.595+06:00  INFO 27940 --- [flowable-saga-orchestrator-engine] [main] liquibase.util                           : FILTERED CHANGE SETS SUMMARY
2025-02-11T16:47:57.595+06:00  INFO 27940 --- [flowable-saga-orchestrator-engine] [main] liquibase.util                           : DBMS mismatch:                2
2025-02-11T16:47:57.596+06:00  INFO 27940 --- [flowable-saga-orchestrator-engine] [main] liquibase.util                           : Update summary generated
2025-02-11T16:47:57.596+06:00  INFO 27940 --- [flowable-saga-orchestrator-engine] [main] liquibase.command                        : Update command completed successfully.
2025-02-11T16:47:57.597+06:00  INFO 27940 --- [flowable-saga-orchestrator-engine] [main] liquibase.lockservice                    : Successfully released change log lock
2025-02-11T16:47:57.598+06:00  INFO 27940 --- [flowable-saga-orchestrator-engine] [main] liquibase.command                        : Command execution complete
2025-02-11T16:47:57.598+06:00  INFO 27940 --- [flowable-saga-orchestrator-engine] [main] o.f.cmmn.engine.impl.CmmnEngineImpl      : CmmnEngine default created
2025-02-11T16:47:57.602+06:00  INFO 27940 --- [flowable-saga-orchestrator-engine] [main] liquibase.database                       : Set default schema name to PUBLIC
2025-02-11T16:47:57.614+06:00  INFO 27940 --- [flowable-saga-orchestrator-engine] [main] liquibase.changelog                      : Creating database history table with name: PUBLIC.ACT_APP_DATABASECHANGELOG
2025-02-11T16:47:57.616+06:00  INFO 27940 --- [flowable-saga-orchestrator-engine] [main] liquibase.changelog                      : Reading from PUBLIC.ACT_APP_DATABASECHANGELOG
2025-02-11T16:47:57.624+06:00  INFO 27940 --- [flowable-saga-orchestrator-engine] [main] liquibase.lockservice                    : Successfully acquired change log lock
2025-02-11T16:47:57.625+06:00  INFO 27940 --- [flowable-saga-orchestrator-engine] [main] liquibase.command                        : Using deploymentId: 9270877625
2025-02-11T16:47:57.625+06:00  INFO 27940 --- [flowable-saga-orchestrator-engine] [main] liquibase.changelog                      : Reading from PUBLIC.ACT_APP_DATABASECHANGELOG
2025-02-11T16:47:57.631+06:00  INFO 27940 --- [flowable-saga-orchestrator-engine] [main] liquibase.changelog                      : Table ACT_APP_DEPLOYMENT created
2025-02-11T16:47:57.633+06:00  INFO 27940 --- [flowable-saga-orchestrator-engine] [main] liquibase.changelog                      : Table ACT_APP_DEPLOYMENT_RESOURCE created
2025-02-11T16:47:57.634+06:00  INFO 27940 --- [flowable-saga-orchestrator-engine] [main] liquibase.changelog                      : Foreign key constraint added to ACT_APP_DEPLOYMENT_RESOURCE (DEPLOYMENT_ID_)
2025-02-11T16:47:57.635+06:00  INFO 27940 --- [flowable-saga-orchestrator-engine] [main] liquibase.changelog                      : Index ACT_IDX_APP_RSRC_DPL created
2025-02-11T16:47:57.636+06:00  INFO 27940 --- [flowable-saga-orchestrator-engine] [main] liquibase.changelog                      : Table ACT_APP_APPDEF created
2025-02-11T16:47:57.637+06:00  INFO 27940 --- [flowable-saga-orchestrator-engine] [main] liquibase.changelog                      : Foreign key constraint added to ACT_APP_APPDEF (DEPLOYMENT_ID_)
2025-02-11T16:47:57.638+06:00  INFO 27940 --- [flowable-saga-orchestrator-engine] [main] liquibase.changelog                      : Index ACT_IDX_APP_DEF_DPLY created
2025-02-11T16:47:57.638+06:00  INFO 27940 --- [flowable-saga-orchestrator-engine] [main] liquibase.changelog                      : ChangeSet org/flowable/app/db/liquibase/flowable-app-db-changelog.xml::1::flowable ran successfully in 8ms
2025-02-11T16:47:57.640+06:00  INFO 27940 --- [flowable-saga-orchestrator-engine] [main] liquibase.changelog                      : Index ACT_IDX_APP_DEF_UNIQ created
2025-02-11T16:47:57.641+06:00  INFO 27940 --- [flowable-saga-orchestrator-engine] [main] liquibase.changelog                      : ChangeSet org/flowable/app/db/liquibase/flowable-app-db-changelog.xml::3::flowable ran successfully in 1ms
2025-02-11T16:47:57.642+06:00  INFO 27940 --- [flowable-saga-orchestrator-engine] [main] liquibase.util                           : UPDATE SUMMARY
2025-02-11T16:47:57.643+06:00  INFO 27940 --- [flowable-saga-orchestrator-engine] [main] liquibase.util                           : Run:                          2
2025-02-11T16:47:57.643+06:00  INFO 27940 --- [flowable-saga-orchestrator-engine] [main] liquibase.util                           : Previously run:               0
2025-02-11T16:47:57.643+06:00  INFO 27940 --- [flowable-saga-orchestrator-engine] [main] liquibase.util                           : Filtered out:                 1
2025-02-11T16:47:57.643+06:00  INFO 27940 --- [flowable-saga-orchestrator-engine] [main] liquibase.util                           : -------------------------------
2025-02-11T16:47:57.643+06:00  INFO 27940 --- [flowable-saga-orchestrator-engine] [main] liquibase.util                           : Total change sets:            3
2025-02-11T16:47:57.643+06:00  INFO 27940 --- [flowable-saga-orchestrator-engine] [main] liquibase.util                           : FILTERED CHANGE SETS SUMMARY
2025-02-11T16:47:57.644+06:00  INFO 27940 --- [flowable-saga-orchestrator-engine] [main] liquibase.util                           : DBMS mismatch:                1
2025-02-11T16:47:57.644+06:00  INFO 27940 --- [flowable-saga-orchestrator-engine] [main] liquibase.util                           : Update summary generated
2025-02-11T16:47:57.644+06:00  INFO 27940 --- [flowable-saga-orchestrator-engine] [main] liquibase.command                        : Update command completed successfully.
2025-02-11T16:47:57.645+06:00  INFO 27940 --- [flowable-saga-orchestrator-engine] [main] liquibase.lockservice                    : Successfully released change log lock
2025-02-11T16:47:57.645+06:00  INFO 27940 --- [flowable-saga-orchestrator-engine] [main] liquibase.command                        : Command execution complete
2025-02-11T16:47:57.646+06:00  INFO 27940 --- [flowable-saga-orchestrator-engine] [main] o.f.app.engine.impl.AppEngineImpl        : AppEngine default created
2025-02-11T16:47:57.947+06:00  INFO 27940 --- [flowable-saga-orchestrator-engine] [main] o.f.j.s.i.a.AbstractAsyncExecutor        : Starting up the async job executor [org.flowable.spring.job.service.SpringAsyncExecutor] for engine cmmn
2025-02-11T16:47:57.958+06:00  INFO 27940 --- [flowable-saga-orchestrator-engine] [main] o.f.j.s.i.a.AbstractAsyncExecutor        : Starting up the async job executor [org.flowable.spring.job.service.SpringAsyncExecutor] for engine bpmn
2025-02-11T16:47:57.959+06:00  INFO 27940 --- [flowable-saga-orchestrator-engine] [Thread-3] o.f.j.s.i.a.ResetExpiredJobsRunnable     : starting to reset expired jobs for engine cmmn
2025-02-11T16:47:57.960+06:00  INFO 27940 --- [flowable-saga-orchestrator-engine] [Thread-2] o.f.j.s.i.a.AcquireTimerJobsRunnable     : starting to acquire async jobs due for engine cmmn
2025-02-11T16:47:57.962+06:00  INFO 27940 --- [flowable-saga-orchestrator-engine] [Thread-1] o.f.j.s.i.a.AcquireAsyncJobsDueRunnable  : starting to acquire async jobs due for engine cmmn
2025-02-11T16:47:57.965+06:00  INFO 27940 --- [flowable-saga-orchestrator-engine] [main] o.f.s.c.DefaultAutoDeploymentStrategy    : Deploying resources [file [D:\Projects\Code\spring-flowable-microservice-event-driven-example\flowable-saga-orchestrator-engine\target\classes\processes\order-saga.bpmn20.xml]] for engine org.flowable.engine.impl.ProcessEngineImpl@25639668 deployment name hint SpringBootAutoDeployment
2025-02-11T16:47:57.966+06:00  INFO 27940 --- [flowable-saga-orchestrator-engine] [Thread-4] o.f.j.s.i.a.AcquireAsyncJobsDueRunnable  : starting to acquire async jobs due for engine bpmn
2025-02-11T16:47:57.966+06:00  INFO 27940 --- [flowable-saga-orchestrator-engine] [Thread-5] o.f.j.s.i.a.AcquireTimerJobsRunnable     : starting to acquire async jobs due for engine bpmn
2025-02-11T16:47:57.967+06:00  INFO 27940 --- [flowable-saga-orchestrator-engine] [Thread-6] o.f.j.s.i.a.ResetExpiredJobsRunnable     : starting to reset expired jobs for engine bpmn
2025-02-11T16:47:58.115+06:00  INFO 27940 --- [flowable-saga-orchestrator-engine] [main] o.s.b.w.embedded.tomcat.TomcatWebServer  : Tomcat started on port 8080 (http) with context path '/'
2025-02-11T16:47:58.145+06:00  INFO 27940 --- [flowable-saga-orchestrator-engine] [main] o.a.k.clients.consumer.ConsumerConfig    : ConsumerConfig values: 
	allow.auto.create.topics = true
	auto.commit.interval.ms = 5000
	auto.include.jmx.reporter = true
	auto.offset.reset = earliest
	bootstrap.servers = [localhost:9092]
	check.crcs = true
	client.dns.lookup = use_all_dns_ips
	client.id = consumer-saga-group-1
	client.rack = 
	connections.max.idle.ms = 540000
	default.api.timeout.ms = 60000
	enable.auto.commit = false
	enable.metrics.push = true
	exclude.internal.topics = true
	fetch.max.bytes = 52428800
	fetch.max.wait.ms = 500
	fetch.min.bytes = 1
	group.id = saga-group
	group.instance.id = null
	group.protocol = classic
	group.remote.assignor = null
	heartbeat.interval.ms = 3000
	interceptor.classes = []
	internal.leave.group.on.close = true
	internal.throw.on.fetch.stable.offset.unsupported = false
	isolation.level = read_uncommitted
	key.deserializer = class org.apache.kafka.common.serialization.StringDeserializer
	max.partition.fetch.bytes = 1048576
	max.poll.interval.ms = 300000
	max.poll.records = 500
	metadata.max.age.ms = 300000
	metadata.recovery.strategy = none
	metric.reporters = []
	metrics.num.samples = 2
	metrics.recording.level = INFO
	metrics.sample.window.ms = 30000
	partition.assignment.strategy = [class org.apache.kafka.clients.consumer.RangeAssignor, class org.apache.kafka.clients.consumer.CooperativeStickyAssignor]
	receive.buffer.bytes = 65536
	reconnect.backoff.max.ms = 1000
	reconnect.backoff.ms = 50
	request.timeout.ms = 30000
	retry.backoff.max.ms = 1000
	retry.backoff.ms = 100
	sasl.client.callback.handler.class = null
	sasl.jaas.config = null
	sasl.kerberos.kinit.cmd = /usr/bin/kinit
	sasl.kerberos.min.time.before.relogin = 60000
	sasl.kerberos.service.name = null
	sasl.kerberos.ticket.renew.jitter = 0.05
	sasl.kerberos.ticket.renew.window.factor = 0.8
	sasl.login.callback.handler.class = null
	sasl.login.class = null
	sasl.login.connect.timeout.ms = null
	sasl.login.read.timeout.ms = null
	sasl.login.refresh.buffer.seconds = 300
	sasl.login.refresh.min.period.seconds = 60
	sasl.login.refresh.window.factor = 0.8
	sasl.login.refresh.window.jitter = 0.05
	sasl.login.retry.backoff.max.ms = 10000
	sasl.login.retry.backoff.ms = 100
	sasl.mechanism = GSSAPI
	sasl.oauthbearer.clock.skew.seconds = 30
	sasl.oauthbearer.expected.audience = null
	sasl.oauthbearer.expected.issuer = null
	sasl.oauthbearer.jwks.endpoint.refresh.ms = 3600000
	sasl.oauthbearer.jwks.endpoint.retry.backoff.max.ms = 10000
	sasl.oauthbearer.jwks.endpoint.retry.backoff.ms = 100
	sasl.oauthbearer.jwks.endpoint.url = null
	sasl.oauthbearer.scope.claim.name = scope
	sasl.oauthbearer.sub.claim.name = sub
	sasl.oauthbearer.token.endpoint.url = null
	security.protocol = PLAINTEXT
	security.providers = null
	send.buffer.bytes = 131072
	session.timeout.ms = 45000
	socket.connection.setup.timeout.max.ms = 30000
	socket.connection.setup.timeout.ms = 10000
	ssl.cipher.suites = null
	ssl.enabled.protocols = [TLSv1.2, TLSv1.3]
	ssl.endpoint.identification.algorithm = https
	ssl.engine.factory.class = null
	ssl.key.password = null
	ssl.keymanager.algorithm = SunX509
	ssl.keystore.certificate.chain = null
	ssl.keystore.key = null
	ssl.keystore.location = null
	ssl.keystore.password = null
	ssl.keystore.type = JKS
	ssl.protocol = TLSv1.3
	ssl.provider = null
	ssl.secure.random.implementation = null
	ssl.trustmanager.algorithm = PKIX
	ssl.truststore.certificates = null
	ssl.truststore.location = null
	ssl.truststore.password = null
	ssl.truststore.type = JKS
	value.deserializer = class org.apache.kafka.common.serialization.StringDeserializer

2025-02-11T16:47:58.181+06:00  INFO 27940 --- [flowable-saga-orchestrator-engine] [main] o.a.k.c.t.i.KafkaMetricsCollector        : initializing Kafka metrics collector
2025-02-11T16:47:58.294+06:00  INFO 27940 --- [flowable-saga-orchestrator-engine] [main] o.a.kafka.common.utils.AppInfoParser     : Kafka version: 3.8.1
2025-02-11T16:47:58.295+06:00  INFO 27940 --- [flowable-saga-orchestrator-engine] [main] o.a.kafka.common.utils.AppInfoParser     : Kafka commitId: 70d6ff42debf7e17
2025-02-11T16:47:58.295+06:00  INFO 27940 --- [flowable-saga-orchestrator-engine] [main] o.a.kafka.common.utils.AppInfoParser     : Kafka startTimeMs: 1739270878294
2025-02-11T16:47:58.298+06:00  INFO 27940 --- [flowable-saga-orchestrator-engine] [main] o.a.k.c.c.internals.LegacyKafkaConsumer  : [Consumer clientId=consumer-saga-group-1, groupId=saga-group] Subscribed to topic(s): saga-replies
2025-02-11T16:47:58.312+06:00  INFO 27940 --- [flowable-saga-orchestrator-engine] [main] lowableSagaOrchestratorEngineApplication : Started FlowableSagaOrchestratorEngineApplication in 6.015 seconds (process running for 6.456)
2025-02-11T16:47:58.559+06:00  INFO 27940 --- [flowable-saga-orchestrator-engine] [org.springframework.kafka.KafkaListenerEndpointContainer#0-0-C-1] org.apache.kafka.clients.Metadata        : [Consumer clientId=consumer-saga-group-1, groupId=saga-group] Cluster ID: XzrhhWtpQfK-3XwjysfkIg
2025-02-11T16:47:58.560+06:00  INFO 27940 --- [flowable-saga-orchestrator-engine] [org.springframework.kafka.KafkaListenerEndpointContainer#0-0-C-1] o.a.k.c.c.internals.ConsumerCoordinator  : [Consumer clientId=consumer-saga-group-1, groupId=saga-group] Discovered group coordinator localhost:9092 (id: 2147482646 rack: null)
2025-02-11T16:47:58.562+06:00  INFO 27940 --- [flowable-saga-orchestrator-engine] [org.springframework.kafka.KafkaListenerEndpointContainer#0-0-C-1] o.a.k.c.c.internals.ConsumerCoordinator  : [Consumer clientId=consumer-saga-group-1, groupId=saga-group] (Re-)joining group
